category,model,base_model,type,application,speed,needle,image_file,description
Apparel,DDL-5550N-7,DDL-5550N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DDL-5550N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LBH-1790S,LBH-1790S,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LBH-1790S.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLU-5494N-7/IT-100A,DLU-5494N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLU-5494N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LBH-780,LBH-780,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LBH-780.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLU-5490N-7,DLU-5490N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLU-5490N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLN-9010A,DLN-9010A,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLN-9010A.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MEB-3900,MEB-3900,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MEB-3900.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLN-5410NDD-7,DLN-5410N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLN-5410N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLN-6390-7,DLN-6390,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLN-6390.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1901C,LK-1901C,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LK-1901C.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLM-5400NDD-7,DLM-5400N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLM-5400N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DMN-5420NDD-7,DMN-5420N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DMN-5420N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1902C,LK-1902C,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LK-1902C.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1905C/IP-510,LK-1905C,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LK-1905C.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1900S,LK-1900S,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LK-1900S.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DLD-5430N-7,DLD-5430N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DLD-5430N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1910,LK-1910,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),LK-1910.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LH-4578C-7,LH-4578C,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LH-4578C.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LH-3528A-7,LH-3528A,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LH-3528A.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LH-3568A-7,LH-3568A,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LH-3568A.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AMS-210EN-1306,AMS-210E,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AMS-210E.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6700DA,MO-6700D,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6700D.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6800AS/DD10,MO-6800A,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6800A.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AMS-221ENHS-3020,AMS-221E,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AMS-221E.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6800D,MO-6800D,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6800D.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6800S,MO-6800S,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6800S.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6900S,MO-6900S,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6900S.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6900R,MO-6900R,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),MO-6900R.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6900J,MO-6900J,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6900J.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6900C,MO-6900C,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6900C.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AMS-224EN-4530,AMS-224E,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AMS-224E.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MO-6914C-BD6-307/X81028,MO-6914C,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MO-6914C.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AW-3S,AW,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AW.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,APW-895NS,APW-895N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),APW-895N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2280B,LZ-2280B,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2280B.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AP-876,AP-876,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AP-876.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2284B-7,LZ-2284B,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2284B.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AB-1351,AB-1351,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AB-1351.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2287B,LZ-2287B,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2287B.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MOL-254N,MOL-254N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MOL-254N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2282N-7,LZ-2282N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2282N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AMB-289,AMB-289,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AMB-289.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2285N,LZ-2285N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2285N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AC-172N-1790AN,AC-172N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AC-172N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2284NU-7,LZ-2284N,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2284N.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,ASN-690,ASN-690,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),ASN-690.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2284C-7,LZ-2284C,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-2284C.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AE-200ANLA,AE-200A,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AE-200A.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-271,LZ-271,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LZ-271.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AG-110,AG-110,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AG-110.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AG-120,AG-120,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AG-120.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,PS-910-13090,PS-910,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),PS-910.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DP-2100,DP-2100,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DP-2100.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,PS-800-13085,PS-800,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),PS-800.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,PS-800SB-8045CKZ/X88011,PS-800S,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),PS-800S.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LT-591,LT-591,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LT-591.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-7500-U11,MF-7500,Interlock / Coverstitch Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-7500.png,"Type: Interlock / Coverstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-7912DRH24,MF-7912D,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-7912D.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-7900-U11,MF-7900,Zigzag Stitching Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-7900.png,"Type: Zigzag Stitching Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-7900D-H24/UT,MF-7900D,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-7900D.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-7200D-U10,MF-7200D,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-7200D.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MF-3620,MF-3620,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MF-3620.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MH-481-5,MH-481,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MH-481.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,PS-900/PS-910,PS-900,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),PS-900.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
